Директория,Число строк в ядре 5.10.232,Число строк в ядре 6.1.121
fs/9p/,4663,4546
fs/adfs/,1871,1873
fs/affs/,3384,3396
fs/afs/,17545,17643
fs/autofs/,2498,2465
fs/befs/,2177,2176
fs/bfs/,892,893
fs/btrfs/,100431,108843
fs/cachefiles/,3268,3870
fs/ceph/,22172,23053
fs/cifs/,57001,0
fs/coda/,2593,2606
fs/configfs/,2324,2317
fs/cramfs/,795,787
fs/crypto/,3480,3609
fs/debugfs/,1294,1356
fs/devpts/,454,454
fs/dlm/,12489,14155
fs/ecryptfs/,7663,7669
fs/efivarfs/,457,872
fs/efs/,832,833
fs/erofs/,4512,6883
fs/exfat/,5619,5682
fs/exportfs/,370,370
fs/ext2/,6722,6672
fs/ext4/,43465,45522
fs/f2fs/,33380,36137
fs/fat/,6313,6625
fs/freevxfs/,1481,1473
fs/fscache/,4207,2099
fs/fuse/,11436,11948
fs/gfs2/,22711,23384
fs/hfs/,4572,4574
fs/hfsplus/,9352,9336
fs/hostfs/,1240,1255
fs/hpfs/,5398,5448
fs/hugetlbfs/,1158,1216
fs/iomap/,2115,2174
fs/isofs/,2925,2925
fs/jbd2/,5533,5666
fs/jffs2/,13499,13515
fs/jfs/,17773,16949
fs/kernfs/,2380,2553
fs/lockd/,6034,6034
fs/minix/,2002,2009
fs/netfs/,0,976
fs/nfs/,60546,62049
fs/nfs_common/,432,432
fs/nfsd/,33496,33585
fs/nilfs2/,16593,16543
fs/nls/,56306,56306
fs/notify/,4736,4777
fs/ntfs/,17261,17244
fs/ntfs3/,0,22183
fs/ocfs2/,67094,67043
fs/omfs/,1403,1406
fs/openpromfs/,382,382
fs/orangefs/,7545,7552
fs/overlayfs/,8056,8543
fs/proc/,12188,12438
fs/pstore/,3909,3823
fs/qnx4/,558,558
fs/qnx6/,1008,1006
fs/quota/,4597,4711
fs/ramfs/,409,432
fs/reiserfs/,21541,21519
fs/romfs/,727,728
fs/smb/,0,86588
fs/squashfs/,4024,4220
fs/sysfs/,1133,1147
fs/sysv/,2229,2236
fs/tracefs/,425,427
fs/ubifs/,24448,24635
fs/udf/,8803,8586
fs/ufs/,5764,5757
fs/unicode/,3522,3382
fs/vboxsf/,2069,2096
fs/verity/,1188,1335
fs/xfs/,94947,99670
fs/zonefs/,1426,1803
net/6lowpan/,1987,1854
net/802/,1881,1849
net/8021q/,23332,2365
net/9p/,5029,5215
net/appletalk/,2309,2308
net/atm/,8906,8909
net/ax25/,5069,5058
net/batman-adv/,23376,20341
net/bluetooth/,43232,51046
net/bpf/,716,1509
net/bpfilter/,200,200
net/bridge/,22485,27801
net/caif/,4417,4406
net/can/,8286,8491
net/ceph/,15496,19155
net/core/,59651,56293
net/dcb/,1636,1635
net/dccp/,8805,8847
net/decnet/,0,0
net/devlink/,0,9821
net/dns_resolver/,346,346
net/dsa/,5739,9833
net/ethernet/,298,344
net/ethtool/,7917,9485
net/hsr/,2383,2452
net/ieee802154/,6725,6722
net/ife/,120,120
net/ipv4/,76102,79062
net/ipv6/,55458,58029
net/iucv/,3050,3016
net/kcm/,1787,1786
net/key/,3204,3196
net/l2tp/,5284,5283
net/l3mdev/,186,186
net/lapb/,1284,1405
net/llc/,8750,8748
net/mac80211/,53128,57795
net/mac802154/,3184,3237
net/mctp/,0,2872
net/mpls/,2657,2650
net/mptcp/,6722,11674
net/ncsi/,4334,4362
net/netfilter/,93392,98523
net/netlabel/,4769,4771
net/netlink/,3960,3994
net/netrom/,3056,3058
net/nfc/,14123,14147
net/nsh/,119,119
net/openvswitch/,12100,12494
net/packet/,3994,4017
net/phonet/,3189,3205
net/psample/,394,429
net/qrtr/,1890,1903
net/rds/,11840,11843
net/rfkill/,1405,1461
net/rose/,3681,3692
net/rxrpc/,11356,11276
net/sched/,43605,45103
net/sctp/,26614,27343
net/smc/,11626,15608
net/strparser/,370,372
net/sunrpc/,31539,33252
net/switchdev/,427,682
net/tipc/,19989,20018
net/tls/,4367,5719
net/unix/,2775,3586
net/vmw_vsock/,6582,6891
net/wimax/,1027,0
net/wireless/,36587,39834
net/x25/,3439,3420
net/xdp/,2357,2653
net/xfrm/,14332,14828
